Year,District,Country,Population
2011,Askim-Frölunda-Högsbo,Estland,58
2011,Askim-Frölunda-Högsbo,Etiopien,89
2011,Askim-Frölunda-Högsbo,Filippinerna,94
2011,Askim-Frölunda-Högsbo,Finland,437
2011,Askim-Frölunda-Högsbo,Frankrike,141
2011,Askim-Frölunda-Högsbo,Grekland,87
2011,Askim-Frölunda-Högsbo,Indien,133
2011,Askim-Frölunda-Högsbo,Irak,571
2011,Askim-Frölunda-Högsbo,Iran,1127
2011,Askim-Frölunda-Högsbo,Italien,81
2011,Askim-Frölunda-Högsbo,Jugoslavien,310
2011,Askim-Frölunda-Högsbo,Kina,297
2011,Askim-Frölunda-Högsbo,Korea Syd-,77
2011,Askim-Frölunda-Högsbo,Kroatien,48
2011,Askim-Frölunda-Högsbo,Libanon,162
2011,Askim-Frölunda-Högsbo,Makedonien,50
2011,Askim-Frölunda-Högsbo,Marocko,43
2011,Askim-Frölunda-Högsbo,Norge,319
2011,Askim-Frölunda-Högsbo,Okänt,0
2011,Askim-Frölunda-Högsbo,Pakistan,112
2011,Askim-Frölunda-Högsbo,Polen,398
2011,Askim-Frölunda-Högsbo,Portugal,31
2011,Askim-Frölunda-Högsbo,Rumänien,142
2011,Askim-Frölunda-Högsbo,Ryssland,150
2011,Askim-Frölunda-Högsbo,Somalia,112
2011,Askim-Frölunda-Högsbo,Spanien,90
2011,Askim-Frölunda-Högsbo,Storbritannien och Nordirland,242
2011,Askim-Frölunda-Högsbo,Syrien,92
2011,Askim-Frölunda-Högsbo,Thailand,199
2011,Askim-Frölunda-Högsbo,Turkiet,214
2011,Askim-Frölunda-Högsbo,Tyskland,332
2011,Askim-Frölunda-Högsbo,Ungern,123
2011,Askim-Frölunda-Högsbo,USA,142
2011,Askim-Frölunda-Högsbo,Vietnam,127
2011,Askim-Frölunda-Högsbo,Övriga Afrika,260
2011,Askim-Frölunda-Högsbo,Övriga Asien,320
2011,Askim-Frölunda-Högsbo,Övriga Europa,640
2011,Askim-Frölunda-Högsbo,Övriga Nordamerika,103
2011,Askim-Frölunda-Högsbo,Övriga Oceanien,44
2011,Askim-Frölunda-Högsbo,Övriga Sydamerika,102
2012,Askim-Frölunda-Högsbo,Afghanistan,101
2012,Askim-Frölunda-Högsbo,Bolivia,28
2012,Askim-Frölunda-Högsbo,Bosnien och Hercegovina,350
2012,Askim-Frölunda-Högsbo,Brasilien,78
2012,Askim-Frölunda-Högsbo,Chile,158
2012,Askim-Frölunda-Högsbo,Colombia,69
2012,Askim-Frölunda-Högsbo,Danmark,246
2012,Askim-Frölunda-Högsbo,Eritrea,34
2012,Askim-Frölunda-Högsbo,Estland,58
2012,Askim-Frölunda-Högsbo,Etiopien,90
2012,Askim-Frölunda-Högsbo,Filippinerna,101
2012,Askim-Frölunda-Högsbo,Finland,413
2012,Askim-Frölunda-Högsbo,Frankrike,140
2012,Askim-Frölunda-Högsbo,Grekland,88
2012,Askim-Frölunda-Högsbo,Indien,144
2012,Askim-Frölunda-Högsbo,Irak,638
2012,Askim-Frölunda-Högsbo,Iran,1153
2012,Askim-Frölunda-Högsbo,Italien,79
2012,Askim-Frölunda-Högsbo,Jugoslavien,307
2012,Askim-Frölunda-Högsbo,Kina,340
2012,Askim-Frölunda-Högsbo,Korea Syd-,69
2012,Askim-Frölunda-Högsbo,Kroatien,45
2012,Askim-Frölunda-Högsbo,Libanon,171
2012,Askim-Frölunda-Högsbo,Makedonien,53
2012,Askim-Frölunda-Högsbo,Marocko,44
2012,Askim-Frölunda-Högsbo,Norge,317
2012,Askim-Frölunda-Högsbo,Okänt,0
2012,Askim-Frölunda-Högsbo,Pakistan,91
2012,Askim-Frölunda-Högsbo,Polen,401
2012,Askim-Frölunda-Högsbo,Portugal,35
2012,Askim-Frölunda-Högsbo,Rumänien,156
2012,Askim-Frölunda-Högsbo,Ryssland,146
2012,Askim-Frölunda-Högsbo,Somalia,135
2012,Askim-Frölunda-Högsbo,Spanien,84
2012,Askim-Frölunda-Högsbo,Storbritannien och Nordirland,256
2012,Askim-Frölunda-Högsbo,Syrien,115
2012,Askim-Frölunda-Högsbo,Thailand,218
2012,Askim-Frölunda-Högsbo,Turkiet,211
2012,Askim-Frölunda-Högsbo,Tyskland,341
2012,Askim-Frölunda-Högsbo,Ungern,116
2012,Askim-Frölunda-Högsbo,USA,150
2012,Askim-Frölunda-Högsbo,Vietnam,129
2012,Askim-Frölunda-Högsbo,Övriga Afrika,276
2012,Askim-Frölunda-Högsbo,Övriga Asien,334
2012,Askim-Frölunda-Högsbo,Övriga Europa,673
2012,Askim-Frölunda-Högsbo,Övriga Nordamerika,108
2012,Askim-Frölunda-Högsbo,Övriga Oceanien,47
2012,Askim-Frölunda-Högsbo,Övriga Sydamerika,113
2013,Askim-Frölunda-Högsbo,Afghanistan,118
2013,Askim-Frölunda-Högsbo,Bolivia,32
2013,Askim-Frölunda-Högsbo,Bosnien och Hercegovina,360
2013,Askim-Frölunda-Högsbo,Brasilien,76
2013,Askim-Frölunda-Högsbo,Chile,158
2013,Askim-Frölunda-Högsbo,Colombia,68
2013,Askim-Frölunda-Högsbo,Danmark,245
2013,Askim-Frölunda-Högsbo,Eritrea,40
2013,Askim-Frölunda-Högsbo,Estland,63
2013,Askim-Frölunda-Högsbo,Etiopien,83
2013,Askim-Frölunda-Högsbo,Filippinerna,105
2013,Askim-Frölunda-Högsbo,Finland,422
2013,Askim-Frölunda-Högsbo,Frankrike,131
2013,Askim-Frölunda-Högsbo,Grekland,88
2013,Askim-Frölunda-Högsbo,Indien,187
2013,Askim-Frölunda-Högsbo,Irak,668
2013,Askim-Frölunda-Högsbo,Iran,1193
2013,Askim-Frölunda-Högsbo,Italien,88
2013,Askim-Frölunda-Högsbo,Jugoslavien,304
2013,Askim-Frölunda-Högsbo,Kina,354
2013,Askim-Frölunda-Högsbo,Korea Syd-,72
2013,Askim-Frölunda-Högsbo,Kroatien,51
2013,Askim-Frölunda-Högsbo,Libanon,179
2013,Askim-Frölunda-Högsbo,Makedonien,63
2013,Askim-Frölunda-Högsbo,Marocko,43
2013,Askim-Frölunda-Högsbo,Norge,323
2013,Askim-Frölunda-Högsbo,Okänt,0
2013,Askim-Frölunda-Högsbo,Pakistan,79
2013,Askim-Frölunda-Högsbo,Polen,425
2013,Askim-Frölunda-Högsbo,Portugal,34
2013,Askim-Frölunda-Högsbo,Rumänien,153
2013,Askim-Frölunda-Högsbo,Ryssland,162
2013,Askim-Frölunda-Högsbo,Somalia,141
2013,Askim-Frölunda-Högsbo,Spanien,95
2013,Askim-Frölunda-Högsbo,Storbritannien och Nordirland,251
2013,Askim-Frölunda-Högsbo,Syrien,150
2013,Askim-Frölunda-Högsbo,Thailand,236
2013,Askim-Frölunda-Högsbo,Turkiet,218
2013,Askim-Frölunda-Högsbo,Tyskland,354
2013,Askim-Frölunda-Högsbo,Ungern,114
2013,Askim-Frölunda-Högsbo,USA,156
2013,Askim-Frölunda-Högsbo,Vietnam,118
2013,Askim-Frölunda-Högsbo,Övriga Afrika,285
2013,Askim-Frölunda-Högsbo,Övriga Asien,332
2013,Askim-Frölunda-Högsbo,Övriga Europa,698
2013,Askim-Frölunda-Högsbo,Övriga Nordamerika,113
2013,Askim-Frölunda-Högsbo,Övriga Oceanien,40
2013,Askim-Frölunda-Högsbo,Övriga Sydamerika,117
2014,Askim-Frölunda-Högsbo,Afghanistan,142
2014,Askim-Frölunda-Högsbo,Bolivia,34
2014,Askim-Frölunda-Högsbo,Bosnien och Hercegovina,353
2014,Askim-Frölunda-Högsbo,Brasilien,74
2014,Askim-Frölunda-Högsbo,Chile,155
2014,Askim-Frölunda-Högsbo,Colombia,79
2014,Askim-Frölunda-Högsbo,Danmark,243
2014,Askim-Frölunda-Högsbo,Eritrea,37
2014,Askim-Frölunda-Högsbo,Estland,67
2014,Askim-Frölunda-Högsbo,Etiopien,79
2014,Askim-Frölunda-Högsbo,Filippinerna,103
2014,Askim-Frölunda-Högsbo,Finland,423
2014,Askim-Frölunda-Högsbo,Frankrike,134
2014,Askim-Frölunda-Högsbo,Grekland,90
2014,Askim-Frölunda-Högsbo,Indien,228
2014,Askim-Frölunda-Högsbo,Irak,698
2014,Askim-Frölunda-Högsbo,Iran,1246
2014,Askim-Frölunda-Högsbo,Italien,92
2014,Askim-Frölunda-Högsbo,Jugoslavien,310
2014,Askim-Frölunda-Högsbo,Kina,380
2014,Askim-Frölunda-Högsbo,Korea Syd-,73
2014,Askim-Frölunda-Högsbo,Kroatien,60
2014,Askim-Frölunda-Högsbo,Libanon,175
2014,Askim-Frölunda-Högsbo,Makedonien,70
2014,Askim-Frölunda-Högsbo,Marocko,48
2014,Askim-Frölunda-Högsbo,Norge,320
2014,Askim-Frölunda-Högsbo,Okänt,0
2014,Askim-Frölunda-Högsbo,Pakistan,58
2014,Askim-Frölunda-Högsbo,Polen,409
2014,Askim-Frölunda-Högsbo,Portugal,38
2014,Askim-Frölunda-Högsbo,Rumänien,156
2014,Askim-Frölunda-Högsbo,Ryssland,176
2014,Askim-Frölunda-Högsbo,Somalia,165
2014,Askim-Frölunda-Högsbo,Spanien,98
2014,Askim-Frölunda-Högsbo,Storbritannien och Nordirland,258
2014,Askim-Frölunda-Högsbo,Syrien,208
2014,Askim-Frölunda-Högsbo,Thailand,249
2014,Askim-Frölunda-Högsbo,Turkiet,236
2014,Askim-Frölunda-Högsbo,Tyskland,353
2014,Askim-Frölunda-Högsbo,Ungern,125
2014,Askim-Frölunda-Högsbo,USA,155
2014,Askim-Frölunda-Högsbo,Vietnam,116
2014,Askim-Frölunda-Högsbo,Övriga Afrika,298
2014,Askim-Frölunda-Högsbo,Övriga Asien,347
2014,Askim-Frölunda-Högsbo,Övriga Europa,699
2014,Askim-Frölunda-Högsbo,Övriga Nordamerika,114
2014,Askim-Frölunda-Högsbo,Övriga Oceanien,39
2014,Askim-Frölunda-Högsbo,Övriga Sydamerika,124
2015,Askim-Frölunda-Högsbo,Afghanistan,142
2015,Askim-Frölunda-Högsbo,Bolivia,33
2015,Askim-Frölunda-Högsbo,Bosnien och Hercegovina,359
2015,Askim-Frölunda-Högsbo,Brasilien,77
2015,Askim-Frölunda-Högsbo,Chile,164
2015,Askim-Frölunda-Högsbo,Colombia,82
2015,Askim-Frölunda-Högsbo,Danmark,247
2015,Askim-Frölunda-Högsbo,Eritrea,54
2015,Askim-Frölunda-Högsbo,Estland,65
2015,Askim-Frölunda-Högsbo,Etiopien,98
2015,Askim-Frölunda-Högsbo,Filippinerna,101
2015,Askim-Frölunda-Högsbo,Finland,423
2015,Askim-Frölunda-Högsbo,Frankrike,140
2015,Askim-Frölunda-Högsbo,Grekland,101
2015,Askim-Frölunda-Högsbo,Indien,262
2015,Askim-Frölunda-Högsbo,Irak,709
2015,Askim-Frölunda-Högsbo,Iran,1285
2015,Askim-Frölunda-Högsbo,Italien,111
2015,Askim-Frölunda-Högsbo,Jugoslavien,306
2015,Askim-Frölunda-Högsbo,Kina,387
2015,Askim-Frölunda-Högsbo,Korea Syd-,73
2015,Askim-Frölunda-Högsbo,Kroatien,57
2015,Askim-Frölunda-Högsbo,Libanon,176
2015,Askim-Frölunda-Högsbo,Makedonien,68
2015,Askim-Frölunda-Högsbo,Marocko,58
2015,Askim-Frölunda-Högsbo,Norge,313
2015,Askim-Frölunda-Högsbo,Okänt,0
2015,Askim-Frölunda-Högsbo,Pakistan,62
2015,Askim-Frölunda-Högsbo,Polen,441
2015,Askim-Frölunda-Högsbo,Portugal,37
2015,Askim-Frölunda-Högsbo,Rumänien,172
2015,Askim-Frölunda-Högsbo,Ryssland,170
2015,Askim-Frölunda-Högsbo,Somalia,192
2015,Askim-Frölunda-Högsbo,Spanien,100
2015,Askim-Frölunda-Högsbo,Storbritannien och Nordirland,255
2015,Askim-Frölunda-Högsbo,Syrien,237
2015,Askim-Frölunda-Högsbo,Thailand,244
